"","lsoa11","samhi_dec","area_population_density_density_number_of_persons_per_hectare_measures_value","imd_score","single_hc"
"1","E01000001",1,112.9,6.161637,0.517123287671233
"2","E01000002",1,62.9,5.585054,0.503614457831325
"3","E01000003",4,227.7,13.29292,0.620563035495716
"4","E01000005",2,52,21.36466,0.488222698072805
"5","E01000006",1,116.2,17.07765,0.178637200736648
"6","E01000007",1,69.5,37.23528,0.413398692810457
"7","E01000008",1,79.1,45.21677,0.247600767754319
"8","E01000009",1,138.6,29.41356,0.299373040752351
"9","E01000010",1,80.7,38.44798,0.233907524932004
"10","E01000011",1,178.2,29.48219,0.153172866520788
"11","E01000012",1,136.8,37.34236,0.236389684813754
"12","E01000013",2,79.9,39.79677,0.252307692307692
"13","E01000014",2,48.5,37.83172,0.282131661442006
"14","E01000015",2,79.9,38.81102,0.233253588516746
"15","E01000016",2,82.3,31.64162,0.281150159744409
"16","E01000017",3,100.6,35.34124,0.292282430213465
"17","E01000018",3,91.9,32.63291,0.258169934640523
"18","E01000019",2,76.5,32.84567,0.224206349206349
"19","E01000020",6,98,34.19407,0.293846153846154
"20","E01000021",4,93.3,34.03406,0.318718381112985
"21","E01000022",1,102.4,28.61592,0.217299578059072
"22","E01000023",2,53.7,23.90313,0.398
"23","E01000024",3,103.9,29.29695,0.214912280701754
"24","E01000025",5,104.9,32.73026,0.252782193958665
"25","E01000027",5,11.6,49.15488,0.273010920436817
"26","E01000028",8,107.7,43.01204,0.321895424836601
"27","E01000029",1,62.4,26.83182,0.32463768115942
"28","E01000030",3,66.9,52.51403,0.283116883116883
"29","E01000031",1,19.2,26.75188,0.265886287625418
"30","E01000032",1,43.4,29.60314,0.286846275752773
"31","E01000033",4,93.7,40.95349,0.296435272045028
"32","E01000034",6,28.1,31.39992,0.274661508704062
"33","E01000035",1,40.5,28.15418,0.2663139329806
"34","E01000036",1,32.3,21.53277,0.208955223880597
"35","E01000037",1,72.3,22.27847,0.22279792746114
"36","E01000038",1,67.6,18.87062,0.271758436944938
"37","E01000039",1,10.5,18.38512,0.280728376327769
"38","E01000040",1,91.9,38.8672,0.29375
"39","E01000041",1,110.2,32.8611,0.245469522240527
"40","E01000042",4,77.3,39.48766,0.315169366715758
"41","E01000043",2,51,32.93694,0.253796095444685
"42","E01000044",1,105.4,31.9693,0.241653418124006
"43","E01000045",2,55.3,40.11685,0.224252491694352
"44","E01000046",2,114.4,28.92122,0.2217125382263
"45","E01000048",2,275.6,55.47113,0.298136645962733
"46","E01000049",1,85.8,44.55569,0.259720062208398
"47","E01000050",2,120.6,34.64766,0.31219512195122
"48","E01000051",2,288.9,53.89508,0.324137931034483
"49","E01000052",2,100.9,29.23539,0.296488946684005
"50","E01000053",6,82.1,32.75126,0.373643410852713
"51","E01000054",1,100.4,29.76774,0.233542319749216
"52","E01000055",1,106.4,29.70741,0.230357142857143
"53","E01000056",5,65,37.70879,0.232111692844677
"54","E01000057",2,101.3,38.85528,0.225325884543762
"55","E01000058",2,101.5,37.36129,0.272463768115942
"56","E01000059",2,75.9,34.54724,0.264705882352941
"57","E01000060",7,32.9,42.00382,0.371428571428571
"58","E01000061",7,29.1,51.25674,0.287425149700599
"59","E01000062",2,88.2,33.29422,0.302233902759527
"60","E01000063",2,89.4,33.92427,0.291338582677165
"61","E01000064",5,90.7,35.19343,0.279266572637518
"62","E01000065",7,74.3,36.5953,0.414728682170543
"63","E01000066",1,78.7,25.4217,0.304538799414348
"64","E01000067",1,102.3,23.07328,0.253313696612666
"65","E01000068",1,46.8,23.35151,0.181818181818182
"66","E01000069",1,87.9,15.88051,0.159844054580897
"67","E01000070",1,50.4,20.4236,0.178929765886288
"68","E01000071",1,83.3,16.91136,0.282802547770701
"69","E01000072",5,38.3,42.40278,0.308673469387755
"70","E01000073",6,56.9,36.41899,0.279106858054226
"71","E01000074",4,95.4,32.27334,0.317965023847377
"72","E01000075",3,33.5,34.91813,0.255627009646302
"73","E01000076",5,104.2,42.34461,0.285915492957746
"74","E01000077",3,83.1,34.70002,0.266071428571429
"75","E01000078",4,94.8,37.66243,0.286594761171032
"76","E01000079",2,49.9,35.19484,0.318555008210181
"77","E01000080",4,67.3,34.21697,0.287878787878788
"78","E01000081",3,90.9,32.40227,0.262345679012346
"79","E01000082",4,104.7,35.6043,0.331845238095238
"80","E01000083",2,94.5,37.60174,0.227344992050874
"81","E01000084",1,90.3,35.68641,0.266924564796905
"82","E01000085",2,118.2,39.16033,0.2671875
"83","E01000086",5,102.1,32.43201,0.238188976377953
"84","E01000087",2,36,35.56472,0.262425447316103
"85","E01000088",2,80.7,27.83138,0.2625
"86","E01000089",1,114.5,29.73686,0.215686274509804
"87","E01000090",1,8.1,26.75087,0.200364298724954
"88","E01000091",2,69.6,46.83227,0.308056872037915
"89","E01000092",1,10.1,27.6282,0.262564102564103
"90","E01000093",2,52.7,48.7888,0.383177570093458
"91","E01000094",2,22,31.81446,0.27852998065764
"92","E01000095",1,6.9,32.91345,0.224043715846995
"93","E01000096",1,31.5,51.17922,0.22848200312989
"94","E01000097",5,93.9,36.80046,0.360169491525424
"95","E01000098",2,99.5,34.67654,0.2352
"96","E01000099",2,55.9,36.95881,0.246246246246246
"97","E01000100",2,78.2,35.9161,0.252032520325203
"98","E01000101",4,92.3,37.97425,0.253968253968254
"99","E01000102",3,60.9,34.60889,0.2944
"100","E01000103",1,24,39.99058,0.228333333333333
"101","E01000104",2,80.9,48.42598,0.380243572395129
"102","E01000105",5,96.4,43.33175,0.359562841530055
"103","E01000106",5,89.7,46.264,0.429039301310044
"104","E01000107",1,31.1,25.60467,0.217970049916805
"105","E01000108",2,64.4,26.87066,0.299079754601227
"106","E01000109",2,44.9,29.44176,0.245065789473684
"107","E01000110",2,72.8,19.06512,0.183632734530938
"108","E01000111",2,61.8,30.50957,0.307377049180328
"109","E01000112",1,67.4,26.36762,0.288227334235453
"110","E01000113",1,109.1,20.16363,0.266982622432859
"111","E01000114",2,81.6,26.76435,0.230870712401055
"112","E01000115",1,54.2,4.643323,0.144329896907216
"113","E01000116",1,70.1,9.081258,0.208667736757624
"114","E01000117",1,54.9,10.51118,0.282152230971129
"115","E01000118",1,67.8,12.96539,0.232722143864598
"116","E01000119",1,42.3,9.625097,0.202635914332784
"117","E01000120",1,61.4,7.2904,0.172277227722772
"118","E01000121",10,39.8,31.92867,0.245508982035928
"119","E01000122",1,62.3,8.949264,0.235632183908046
"120","E01000123",1,31.6,13.39412,0.313868613138686
"121","E01000124",4,63.4,25.33343,0.327272727272727
"122","E01000125",5,90.3,36.41887,0.305418719211823
"123","E01000126",2,134,32.73006,0.238292011019284
"124","E01000127",3,75,23.70964,0.198443579766537
"125","E01000128",1,75.7,22.70908,0.192307692307692
"126","E01000129",6,103.7,34.26831,0.28525641025641
"127","E01000130",2,93.6,27.46604,0.217543859649123
"128","E01000131",2,53.7,17.78675,0.242902208201893
"129","E01000132",2,96.3,26.09347,0.18989898989899
"130","E01000133",6,102.9,28.77397,0.235398230088496
"131","E01000134",3,102.4,22.66407,0.2944
"132","E01000135",3,47.3,9.634626,0.236598890942699
"133","E01000136",2,29.4,10.24247,0.252220248667851
"134","E01000137",4,140.8,30.81028,0.322869955156951
"135","E01000138",2,55.4,19.66549,0.284894837476099
"136","E01000139",1,40.7,14.44453,0.269642857142857
"137","E01000140",2,111.6,17.84832,0.346998535871157
"138","E01000141",1,56.8,28.40675,0.335648148148148
"139","E01000142",4,119.4,20.35579,0.329473684210526
"140","E01000143",3,83.6,29.00308,0.325278810408922
"141","E01000144",1,77.6,13.74871,0.326194398682043
"142","E01000145",1,73.2,9.1536,0.204954954954955
"143","E01000146",1,83.1,14.40226,0.361559139784946
"144","E01000147",1,85.7,14.79104,0.198529411764706
"145","E01000148",2,80,26.21966,0.340689655172414
"146","E01000150",1,44.3,19.48063,0.239247311827957
"147","E01000151",4,120.3,37.2202,0.322528363047002
"148","E01000152",2,93.5,34.90312,0.157801418439716
"149","E01000153",6,93.4,38.47334,0.330645161290323
"150","E01000154",3,100.8,43.3484,0.303393213572854
"151","E01000155",2,64.7,22.73376,0.358845671267252
"152","E01000156",1,104.2,15.28021,0.270306258322237
"153","E01000157",2,122.4,16.43939,0.368650217706821
"154","E01000158",3,54.4,18.18493,0.297872340425532
"155","E01000159",2,36,16.33367,0.203100775193798
"156","E01000160",2,68.1,11.47264,0.345612134344529
"157","E01000161",2,75.1,13.98923,0.295774647887324
"158","E01000162",7,87.7,19.02026,0.257246376811594
"159","E01000163",6,81.4,29.59589,0.41897233201581
"160","E01000164",4,30.8,28.48411,0.277777777777778
"161","E01000165",1,100.5,11.32023,0.274398868458274
"162","E01000166",2,42.8,13.86856,0.322530864197531
"163","E01000167",4,21.7,21.74649,0.262452107279693
"164","E01000168",1,49.8,5.596765,0.178819444444444
"165","E01000169",3,62.5,10.20957,0.350746268656716
"166","E01000170",4,55.2,17.98764,0.30640243902439
"167","E01000171",2,55.5,17.62641,0.351635514018692
"168","E01000172",1,30.8,8.680864,0.230897009966777
"169","E01000173",1,47,8.463643,0.189627228525122
"170","E01000174",3,91.7,15.67574,0.369451697127937
"171","E01000175",2,31.6,8.402637,0.245954692556634
"172","E01000176",4,73.4,26.83165,0.388252148997135
"173","E01000177",2,96.5,10.98749,0.265217391304348
"174","E01000178",2,42.9,14.63742,0.284892086330935
"175","E01000179",2,112.2,12.60837,0.374836173001311
"176","E01000180",2,94.1,17.15516,0.346879535558781
"177","E01000181",1,119.6,13.85563,0.242152466367713
"178","E01000182",2,77.1,10.78882,0.339142091152815
