lsoa11,samhi_dec,area_population_density_density_number_of_persons_per_hectare_measures_value,single_hc,Unemployment Rate
E01000001,1,112.9,0.517123288,3.5
E01000002,1,62.9,0.503614458,1.7
E01000003,4,227.7,0.620563035,4.7
E01000005,2,52,0.488222698,8.7
E01000006,1,116.2,0.178637201,9.5
E01000007,1,69.5,0.413398693,11.9
E01000008,1,79.1,0.247600768,18
E01000009,1,138.6,0.299373041,10
E01000010,1,80.7,0.233907525,9.7
E01000011,1,178.2,0.153172867,10.2
E01000012,1,136.8,0.236389685,10.7
E01000013,2,79.9,0.252307692,10.1
E01000014,2,48.5,0.282131661,11.4
E01000015,2,79.9,0.233253589,11.7
E01000016,2,82.3,0.28115016,9.1
E01000017,3,100.6,0.29228243,8.8
E01000018,3,91.9,0.258169935,10.4
E01000019,2,76.5,0.224206349,13.4
E01000020,6,98,0.293846154,11.4
E01000021,4,93.3,0.318718381,13.2
E01000022,1,102.4,0.217299578,10.2
E01000023,2,53.7,0.398,11.1
E01000024,3,103.9,0.214912281,9.2
E01000025,5,104.9,0.252782194,10.7
E01000027,5,11.6,0.27301092,11.3
E01000028,8,107.7,0.321895425,14.2
E01000029,1,62.4,0.324637681,7.4
E01000030,3,66.9,0.283116883,14.1
E01000031,1,19.2,0.265886288,8.1
E01000032,1,43.4,0.286846276,10
E01000033,4,93.7,0.296435272,13.2
E01000034,6,28.1,0.274661509,8.7
E01000035,1,40.5,0.266313933,9.2
E01000036,1,32.3,0.208955224,6.3
E01000037,1,72.3,0.222797927,12.8
E01000038,1,67.6,0.271758437,6.9
E01000039,1,10.5,0.280728376,7.3
E01000040,1,91.9,0.29375,10.7
E01000041,1,110.2,0.245469522,11.1
E01000042,4,77.3,0.315169367,14.9
E01000043,2,51,0.253796095,11.1
E01000044,1,105.4,0.241653418,9.2
E01000045,2,55.3,0.224252492,10.3
E01000046,2,114.4,0.221712538,10.7
E01000048,2,275.6,0.298136646,18.7
